PRODUCTOS;Cantidad;31/12/2023;31/1/2024;29/2/2024;31/3/2024;30/4/2024
ACEITE COCINERO GIRASOL;1500;2500.00;3100.00;3450.00;3600.00;3700.00
ARROZ GRANO FINO;1000;1650.00;2300.00;2800.00;3100.00;3550.00
AZUCAR LEDESMA;1000;1990.00;2050.00;2050.00;2100.00;2100.00
FIDEOS GUISEROS;500;1600.00;1990.00;2150.00;2200.00;2290.00
HARINA DE TRIGO;1000;950.00;1250.00;1350.00;1500.00;1690.00
HUEVOS COLOR DOCENA;720;2200.00;2600.00;3000.00;3400.00;3800.00
PAN FRESCO;1000;1650.00;2100.00;2200.00;2300.00;2300.00
LECHE c/VIT.FORT;1000;1100.00;1210.00;1620.00;1890.00;1990.00
YERBA TARAGUI;1000;2800.00;3700.00;4600.00;4950.00;5500.00
ZANAHORIAS;1000;820.00;990.00;1100.00;1100.00;1100.00
BERENJENAS;1000;1200.00;1200.00;1490.00;2200.00;3200.00
TOMATE PERITA;1000;1200.00;1100.00;1200.00;2300.00;2700.00
CEBOLLA;1000;500.00;700.00;990.00;1150.00;1500.00
PAPA NEGRA;1000;850.00;890.00;1000.00;990.00;900.00
ACELGA PAQUETE;900;450.00;620.00;1100.00;1990.00;1990.00
NARANJA;1000;920.00;1250.00;1850.00;1900.00;2200.00
MANZANA;1000;1900.00;2100.00;2400.00;2400.00;2700.00
BOLA DE LOMO;1000;6200.00;7200.00;8300.00;8500.00;8650.00
ASADO;1000;5400.00;6300.00;7500.00;7600.00;7750.00
PALETA;1000;5200.00;6200.00;7100.00;7800.00;7900.00
CARNE PICADA COMUN;1000;4200.00;4800.00;5200.00;5200.00;5500.00
