Alimento;Cantidad (gr/ml);HC (gr);Proteinas (gr);Grasas (gr);Na (mg);Ca (mg);Fe (mg);Azucares Libres (gr);AGS (gr);AGNI (gr);AG p (gr);Fibra (gr)
Leche fluida entera;270;12.42;8.37;7.83;153.9;283.5;0.189;;4.99;2.19;0.52;
Leche entera en polvo;11;4.51;2.84;2.73;44.44;99;0.06;;1.62;0.77;0.06;
Yogurt;19;2.45;0.51;0.49;7.99;17.67;0.005;;0.32;0.14;0.014;
Queso crema;1.66;0.06;0.1;0.37;1.23;0.93;;;0.36;0.11;0.01;
Queso cuartirolo;3.66;0.06;0.77;0.8;20.84;16.54;;;0.76;0.21;0.02;
Queso rallar;1.66;0.06;0.55;0.45;20.42;15.78;;;0.36;0.11;0.008;
Huevo;16;;1.92;1.89;21.6;8.96;0.4;;0.51;0.72;0.46;
Asado;50;;9.3;7.5;33;7.5;1.12;;2.93;3.27;0.189;
Paleta ;15;;3;1.5;9.9;1.8;0.34;;0.88;0.98;0.056;
Hueso c/carne;15;;3;1.5;9.9;1.8;0.34;;0.88;0.98;0.056;
Carne picada;27;;5.4;2.7;17.82;3.24;0.6;;1.58;1.77;0.1;
Bola de Lomo;34;;7.21;0.48;21.42;1.02;1.18;;1.99;2.2;0.13;
Higado;9;0.54;1.77;0.29;7.74;0.36;0.89;;0.11;0.043;0.042;
pollo;63;;13.23;2.39;45.99;7.56;0.98;;1.87;2.72;1.43;
pescado;11;;2.14;0.68;5.88;4.78;0.12;;0.17;0.17;0.2;
Acelga;25;;0.73;;58.75;28.75;0.45;;;;;0.4
Zanahoria;27;2.16;0.29;;5.94;9.99;0.13;;;;;0.82
Tomate;69;2.83;0.69;;3.45;6.21;1.15;;;;;0.83
Lechuga;22;0.33;0.3;;6.16;7.92;0.18;;;;;0.29
Cebolla;44;0.97;0.35;;11.44;11.44;0.25;;;;;0.57
Zapallo;29;1.33;0.12;;1.16;4.93;0.17;;;;;0.14
Manzana;61;9.09;0.18;;3.05;2.44;0.31;;;;;0.85
Naranja;43;5.33;0.43;;3.01;9.03;0.15;;;;;0.82
Mandarina;44;5.28;0.44;;3.08;9.24;0.15;;;;;0.84
pera;16;2.03;0.11;;0.32;1.28;0.03;;;;;0.38
Banana;32;6.49;0.38;;0.32;2.24;0.13;;;;;0.58
Pan Frances;234;140.4;23.4;;318.24;44.46;7.79;;;;;6.32
Arroz;36;28.51;2.48;;1.44;3.24;0.25;;;;;0.97
Harina trigo;45;30.92;4.63;1.21;4.5;4.95;0.68;;0.19;0.11;0.51;1.44
Harina maiz;6;4.4;0.66;0.19;2.1;1.56;0.17;;0.02;0.05;0.08;0.1
Fideos secos;56;40.65;7.15;0.88;3.92;10.08;2.4;;0.126;0.104;0.362;1.34
Papa;229;40.53;6.18;;54.96;57.25;1.97;;;;;3.66
Batata;9;1.51;0.09;;0.54;3.06;0.02;;;;;0.27
Aceite girasol;34;;;34;;;;;3.71;7.82;20.98;
Manteca;2;;;1.64;4.46;2.8;;;1.005;0.59;0.025;
Margarina;3;;;2.49;27.75;0.87;;;0.61;0.39;1.49;
Mayonesa;2;;;1.58;17.38;0.54;0.01;;0.18;0.43;0.97;
Mortadela;2;0.02;0.35;0.38;22.56;0.12;0.02;;0.16;;0.01;
Paleta cocida;1;0.09;0.1;0.05;11.28;0.12;0.02;;0.09;;;
Galletitas saladas;13;7.8;1.75;2.01;41.99;5.72;0.44;;0.49;1.2;0.31;0.26
Galletitas dulces;6;4.35;0.51;0.61;13.98;2.52;0.13;4.2;0.17;0.34;0.05;0.02
Dulce de leche;2.33;1.63;0.15;0.15;3.22;5.89;;1.63;0.09;0.041;0.004;
Mermelada;2.33;1.74;;;1.14;0.69;0.02;1.74;;;;0.03
Dulce de batata;2.33;1.63;0.02;;0.44;0.56;0.01;1.63;;;;
Azucar;43;43;;;;;;43;;;;
Gaseosa;21;2.31;;;0.84;0.63;;2.31;;;;
Jugo conc.;32;2.24;;;30.08;;;2.24;;;;
Arvejas en lata;8;1.46;0.48;0.06;7.024;4.33;0.12;;0.001;;;0.27
Tomate envasado;7;0.21;0.056;0.009;8.96;2.17;0.07;;;;;0.06
Caldo conc.;1;0.16;0.17;0.04;240;0.6;0.02;;0.01;0.01;0.001;
Cerveza;21;0.031;0.063;0.012;0.84;1.05;0.004;;;;;
Vino;22;0.704;0.044;;1.32;1.76;0.07;;;;;
Soda;70;;;;;;;;;;;
Sal fina;5;;;;2000;;;;;;;
Vina re;3;;;;;;;;;;;
Cafe;1;;;;;;;;;;;
Yerba;20;;;;;;;;;;;
